,1stFlrSF,2ndFlrSF,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFullBath,BsmtQual,CentralAir,ExterQual,Exterior1st,Exterior2nd,Fireplaces,Foundation,FullBath,GarageArea,GarageCars,GarageFinish,GarageType,GrLivArea,HalfBath,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LotFrontage,LotShape,MSSubClass,MSZoning,MasVnrType,MoSold,Neighborhood,OverallCond,OverallQual,RoofStyle,SaleCondition,TotRmsAbvGrd,TotalBsmtSF,second_floor,Age,YearsSinceSale,SalePrice
10,1040,0,3,1Fam,TA,No,Rec,1.0,TA,Y,TA,HdBoard,HdBoard,0,CBlock,1,384.0,1.0,Unf,Detchd,1040,0,Ex,1Story,1,TA,70.0,Reg,20,RL,None,2,Sawyer,5,5,Hip,Normal,5,1040.0,0,45,2,129500.0
11,1182,1142,4,1Fam,TA,No,GLQ,1.0,Ex,Y,Ex,WdShing,Wd Shng,2,PConc,3,736.0,3.0,Fin,BuiltIn,2324,0,Ex,2Story,1,Ex,85.0,IR1,60,RL,Stone,7,NridgHt,5,9,Hip,Partial,11,1175.0,1,5,4,345000.0
12,912,0,2,1Fam,TA,No,ALQ,1.0,TA,Y,TA,HdBoard,Plywood,0,CBlock,1,352.0,1.0,Unf,Detchd,912,0,TA,1Story,1,TA,0.0,IR2,20,RL,None,9,Sawyer,6,5,Hip,Normal,4,912.0,0,48,2,144000.0
13,1494,0,3,1Fam,TA,Av,Unf,0.0,Gd,Y,Gd,VinylSd,VinylSd,1,PConc,2,840.0,3.0,RFn,Attchd,1494,0,Ex,1Story,1,Gd,91.0,IR1,20,RL,Stone,8,CollgCr,5,7,Gable,Partial,7,1494.0,0,4,3,279500.0
14,1253,0,2,1Fam,TA,No,BLQ,1.0,TA,Y,TA,MetalSd,MetalSd,1,CBlock,1,352.0,1.0,RFn,Attchd,1253,1,TA,1Story,1,TA,0.0,IR1,20,RL,BrkFace,5,NAmes,5,6,Hip,Normal,5,1253.0,0,50,2,157000.0
15,854,0,2,1Fam,TA,No,Unf,0.0,TA,Y,TA,Wd Sdng,Wd Sdng,0,BrkTil,1,576.0,2.0,Unf,Detchd,854,0,Ex,1.5Unf,1,TA,51.0,Reg,45,RM,None,7,BrkSide,8,7,Gable,Normal,5,832.0,0,81,3,132000.0
16,1004,0,2,1Fam,TA,No,ALQ,1.0,TA,Y,TA,Wd Sdng,Wd Sdng,1,CBlock,1,480.0,2.0,Fin,Attchd,1004,0,Ex,1Story,1,TA,0.0,IR1,20,RL,BrkFace,3,NAmes,7,6,Gable,Normal,5,1004.0,0,40,0,149000.0
17,1296,0,2,Duplex,NB,No,No,0.0,No,Y,TA,MetalSd,MetalSd,0,Slab,2,516.0,2.0,Unf,CarPort,1296,0,TA,1Story,2,TA,72.0,Reg,90,RL,None,10,Sawyer,5,4,Gable,Normal,6,0.0,0,43,4,90000.0
18,1114,0,3,1Fam,TA,No,GLQ,1.0,TA,Y,TA,VinylSd,VinylSd,0,PConc,1,576.0,2.0,Unf,Detchd,1114,1,Ex,1Story,1,Gd,66.0,Reg,20,RL,None,6,SawyerW,5,5,Gable,Normal,6,1114.0,0,6,2,159000.0
19,1339,0,3,1Fam,TA,No,LwQ,0.0,TA,Y,TA,BrkFace,Plywood,0,CBlock,1,294.0,1.0,Unf,Attchd,1339,0,TA,1Story,1,TA,70.0,Reg,20,RL,None,5,NAmes,6,5,Hip,Abnorml,6,1029.0,0,52,1,139000.0
20,1158,1218,4,1Fam,TA,Av,Unf,0.0,Ex,Y,Gd,VinylSd,VinylSd,1,PConc,3,853.0,3.0,RFn,BuiltIn,2376,1,Ex,2Story,1,Gd,101.0,IR1,60,RL,BrkFace,11,NridgHt,5,8,Gable,Partial,9,1158.0,1,5,4,325300.0
21,1108,0,3,1Fam,TA,No,Unf,0.0,TA,Y,TA,Wd Sdng,Wd Sdng,1,PConc,1,280.0,1.0,Unf,Attchd,1108,0,Ex,1.5Unf,1,Gd,57.0,Reg,45,RM,None,6,IDOTRR,7,7,Gable,Normal,6,637.0,0,80,3,139400.0
22,1795,0,3,1Fam,TA,No,Unf,0.0,Gd,Y,Gd,VinylSd,VinylSd,1,PConc,2,534.0,2.0,RFn,Attchd,1795,0,Ex,1Story,1,Gd,75.0,Reg,20,RL,BrkFace,9,CollgCr,5,8,Hip,Normal,7,1777.0,0,8,2,230000.0
23,1060,0,3,TwnhsE,TA,No,GLQ,1.0,Gd,Y,TA,CemntBd,CmentBd,1,PConc,1,572.0,2.0,Unf,Attchd,1060,0,TA,1Story,1,TA,44.0,Reg,120,RM,None,6,MeadowV,7,5,Gable,Normal,6,1040.0,0,34,3,129900.0
24,1060,0,3,1Fam,TA,Mn,Rec,1.0,TA,Y,TA,Plywood,Plywood,1,CBlock,1,270.0,1.0,Unf,Attchd,1060,0,Ex,1Story,1,Gd,0.0,IR1,20,RL,None,5,Sawyer,8,5,Gable,Normal,6,1060.0,0,42,0,154000.0
25,1600,0,3,1Fam,TA,No,Unf,0.0,Gd,Y,Gd,VinylSd,VinylSd,1,PConc,2,890.0,3.0,RFn,Attchd,1600,0,Ex,1Story,1,Gd,110.0,Reg,20,RL,Stone,7,NridgHt,5,8,Gable,Normal,7,1566.0,0,3,1,256300.0
26,900,0,3,1Fam,TA,Mn,BLQ,0.0,TA,Y,TA,Wd Sdng,Wd Sdng,0,CBlock,1,576.0,2.0,Unf,Detchd,900,0,TA,1Story,1,Gd,60.0,Reg,20,RL,None,5,NAmes,7,5,Gable,Normal,5,900.0,0,59,0,134800.0
27,1704,0,3,1Fam,TA,No,GLQ,1.0,Ex,Y,Gd,VinylSd,VinylSd,1,PConc,2,772.0,3.0,RFn,Attchd,1704,0,Ex,1Story,1,Gd,98.0,Reg,20,RL,Stone,5,NridgHt,5,8,Gable,Normal,7,1704.0,0,3,0,306000.0
28,1600,0,2,1Fam,TA,Gd,BLQ,1.0,TA,Y,TA,MetalSd,MetalSd,2,CBlock,1,319.0,1.0,RFn,Attchd,1600,0,TA,1Story,1,TA,47.0,IR1,20,RL,None,12,NAmes,6,5,Gable,Normal,6,1484.0,0,53,4,207500.0
29,520,0,1,1Fam,TA,No,Unf,0.0,TA,N,TA,MetalSd,MetalSd,0,BrkTil,1,240.0,1.0,Unf,Detchd,520,0,Fa,1Story,1,Fa,60.0,IR1,30,RM,None,5,BrkSide,6,4,Gable,Normal,4,520.0,0,83,2,68500.0
30,649,668,3,1Fam,TA,No,Unf,0.0,TA,N,TA,BrkFace,BrkFace,0,BrkTil,1,250.0,1.0,Unf,Detchd,1317,0,TA,2Story,1,TA,50.0,Reg,70,C (all),None,7,IDOTRR,4,4,Gambrel,Normal,6,649.0,1,90,2,40000.0
31,1228,0,3,1Fam,TA,No,Unf,0.0,TA,Y,TA,HdBoard,HdBoard,0,CBlock,1,271.0,1.0,Unf,Attchd,1228,1,Gd,1Story,1,Gd,0.0,IR1,20,RL,None,6,Sawyer,6,5,Gable,Normal,6,1228.0,0,44,2,149350.0
32,1234,0,3,1Fam,TA,Av,Unf,0.0,Ex,Y,Gd,VinylSd,VinylSd,0,PConc,2,484.0,2.0,RFn,Attchd,1234,0,Ex,1Story,1,Gd,85.0,Reg,20,RL,None,1,CollgCr,5,8,Gable,Normal,7,1234.0,0,3,2,179900.0
33,1700,0,4,1Fam,TA,No,Rec,0.0,TA,Y,TA,BrkFace,BrkFace,1,CBlock,1,447.0,2.0,RFn,Attchd,1700,1,Gd,1Story,1,Gd,70.0,IR1,20,RL,None,4,NAmes,5,5,Hip,Normal,6,1398.0,0,51,0,165500.0
34,1561,0,2,TwnhsE,TA,No,GLQ,1.0,Ex,Y,Ex,MetalSd,MetalSd,1,PConc,2,556.0,2.0,Fin,Attchd,1561,0,Ex,1Story,1,Ex,60.0,Reg,120,RL,BrkFace,8,NridgHt,5,9,Hip,Normal,6,1561.0,0,5,3,277500.0
35,1132,1320,4,1Fam,TA,Av,Unf,0.0,Ex,Y,Gd,VinylSd,VinylSd,1,PConc,3,691.0,3.0,Fin,BuiltIn,2452,1,Ex,2Story,1,Gd,108.0,Reg,60,RL,Stone,9,NridgHt,5,8,Gable,Normal,9,1117.0,1,6,4,309000.0
36,1097,0,3,1Fam,TA,No,Unf,0.0,Gd,Y,TA,VinylSd,VinylSd,0,PConc,1,672.0,2.0,Unf,Attchd,1097,1,Ex,1Story,1,TA,112.0,Reg,20,RL,None,6,CollgCr,5,5,Gable,Normal,6,1097.0,0,16,1,145000.0
37,1297,0,3,1Fam,TA,No,Rec,0.0,TA,Y,TA,Wd Sdng,Wd Sdng,1,CBlock,1,498.0,2.0,Fin,Attchd,1297,0,Gd,1Story,1,TA,74.0,Reg,20,RL,BrkFace,10,NAmes,6,5,Hip,Normal,5,1297.0,0,56,1,153000.0
38,1057,0,3,1Fam,TA,No,GLQ,1.0,TA,Y,TA,VinylSd,VinylSd,0,CBlock,1,246.0,1.0,Unf,Detchd,1057,0,TA,1Story,1,Gd,68.0,Reg,20,RL,None,1,NAmes,7,5,Gable,Abnorml,5,1057.0,0,57,0,109000.0
39,1152,0,2,Duplex,NB,No,No,0.0,No,N,TA,AsbShng,Plywood,0,PConc,2,0.0,0.0,Unf,Attchd,1152,0,TA,1Story,2,Fa,65.0,Reg,90,RL,None,6,Edwards,5,4,Gable,AdjLand,6,0.0,0,55,2,82000.0
40,1324,0,3,1Fam,TA,No,Rec,0.0,TA,Y,TA,Wd Sdng,Wd Sdng,1,CBlock,2,440.0,2.0,RFn,Attchd,1324,0,Ex,1Story,1,TA,84.0,Reg,20,RL,BrkFace,12,NAmes,5,6,Gable,Abnorml,6,1088.0,0,45,4,160000.0
41,1328,0,2,1Fam,TA,Gd,BLQ,0.0,TA,Y,TA,VinylSd,VinylSd,2,CBlock,1,308.0,1.0,RFn,Attchd,1328,1,Gd,1Story,1,TA,115.0,Reg,20,RL,None,7,Timber,6,5,Gable,Normal,5,1350.0,0,51,3,170000.0
42,884,0,2,1Fam,TA,Av,ALQ,1.0,Gd,Y,TA,HdBoard,HdBoard,0,CBlock,1,504.0,2.0,RFn,Attchd,884,0,Gd,SFoyer,1,Gd,0.0,IR1,85,RL,None,12,SawyerW,7,5,Gable,Normal,5,840.0,0,27,3,144000.0
43,938,0,3,1Fam,TA,Av,LwQ,1.0,Gd,Y,TA,VinylSd,VinylSd,0,CBlock,1,308.0,1.0,Unf,Detchd,938,0,TA,1Story,1,TA,0.0,IR1,20,RL,None,7,CollgCr,6,5,Hip,Normal,5,938.0,0,35,2,130250.0
44,1150,0,3,1Fam,TA,No,ALQ,1.0,TA,Y,TA,BrkFace,Wd Sdng,0,CBlock,1,300.0,1.0,RFn,Attchd,1150,0,Ex,1Story,1,TA,70.0,Reg,20,RL,None,5,NAmes,6,5,Gable,Normal,6,1150.0,0,51,4,141000.0
45,1752,0,2,TwnhsE,TA,No,GLQ,1.0,Ex,Y,Ex,MetalSd,MetalSd,1,PConc,2,576.0,2.0,RFn,Attchd,1752,0,Ex,1Story,1,Ex,61.0,Reg,120,RL,BrkFace,2,NridgHt,5,9,Hip,Normal,6,1752.0,0,5,0,319900.0
46,1518,631,1,1Fam,TA,No,GLQ,1.0,Ex,Y,Gd,VinylSd,VinylSd,1,PConc,1,670.0,2.0,RFn,Attchd,2149,1,Ex,1.5Fin,1,Gd,48.0,IR1,50,RL,None,8,Mitchel,5,7,Gable,Abnorml,6,1434.0,1,7,1,239686.0
47,1656,0,3,1Fam,TA,Av,GLQ,0.0,Gd,Y,Gd,VinylSd,VinylSd,0,PConc,2,826.0,3.0,RFn,Attchd,1656,0,Ex,1Story,1,Gd,84.0,Reg,20,FV,None,7,Somerst,5,8,Gable,Normal,7,1656.0,0,4,3,249700.0
48,736,716,2,2fmCon,TA,No,Unf,0.0,TA,Y,TA,MetalSd,MetalSd,0,BrkTil,2,0.0,0.0,Unf,Attchd,1452,0,Gd,2Story,3,TA,33.0,Reg,190,RM,None,6,OldTown,5,4,Gable,Partial,8,736.0,1,90,1,113000.0
49,955,0,3,1Fam,TA,No,BLQ,1.0,TA,Y,TA,HdBoard,HdBoard,0,CBlock,1,386.0,1.0,Unf,Attchd,955,0,Ex,1Story,1,TA,66.0,Reg,20,RL,None,1,Sawyer,7,5,Gable,Normal,6,955.0,0,44,3,127000.0
50,794,676,3,1Fam,TA,Av,GLQ,0.0,Gd,Y,TA,VinylSd,VinylSd,0,PConc,2,388.0,2.0,Fin,Attchd,1470,0,Gd,2Story,1,TA,0.0,IR2,60,RL,None,7,Gilbert,6,6,Gable,Normal,6,794.0,1,13,3,177000.0
51,816,0,3,1Fam,TA,No,Unf,0.0,TA,Y,TA,Wd Sdng,Wd Sdng,1,PConc,1,528.0,2.0,Unf,Detchd,1176,0,TA,1.5Fin,1,TA,52.0,Reg,50,RM,None,9,BrkSide,6,6,Gable,Normal,6,816.0,0,76,4,114500.0
52,816,0,2,Duplex,TA,Gd,LwQ,1.0,Gd,N,Fa,Wd Sdng,Wd Sdng,0,CBlock,1,516.0,2.0,Unf,CarPort,816,0,TA,1Story,1,TA,110.0,IR2,90,RM,None,5,IDOTRR,5,5,Gable,Normal,5,816.0,0,47,0,110000.0
53,1842,0,0,1Fam,TA,Gd,GLQ,2.0,Ex,Y,Gd,WdShing,Wd Shng,1,CBlock,0,894.0,3.0,Fin,Attchd,1842,1,Gd,1Story,1,Gd,68.0,IR1,20,RL,None,11,Veenker,5,9,Gable,Normal,5,1842.0,0,29,4,385000.0
54,1360,0,3,1Fam,TA,No,ALQ,0.0,TA,Y,TA,MetalSd,MetalSd,1,CBlock,1,572.0,2.0,Unf,Detchd,1360,0,TA,SLvl,1,TA,60.0,Reg,80,RL,None,2,NAmes,5,5,Gable,Normal,6,384.0,0,55,3,130000.0
55,1425,0,3,1Fam,TA,No,BLQ,0.0,TA,Y,TA,HdBoard,Plywood,1,CBlock,2,576.0,2.0,RFn,Attchd,1425,0,Gd,1Story,1,TA,100.0,IR1,20,RL,BrkFace,7,NAmes,5,6,Gable,Normal,7,1425.0,0,46,2,180500.0
56,983,756,3,Twnhs,TA,No,GLQ,1.0,Gd,Y,Gd,MetalSd,MetalSd,0,PConc,2,480.0,2.0,Fin,Attchd,1739,1,Ex,2Story,1,Gd,24.0,Reg,160,FV,BrkFace,8,Somerst,5,8,Gable,Abnorml,7,970.0,1,11,1,172500.0
57,860,860,3,1Fam,TA,No,Unf,0.0,Gd,Y,Gd,VinylSd,VinylSd,0,PConc,2,565.0,2.0,RFn,Attchd,1720,1,Ex,2Story,1,Gd,89.0,IR1,60,RL,None,8,CollgCr,5,7,Gable,Normal,7,860.0,1,6,4,196500.0
58,1426,1519,3,1Fam,TA,Gd,Unf,0.0,Ex,Y,Ex,VinylSd,VinylSd,1,PConc,3,641.0,3.0,Fin,BuiltIn,2945,1,Ex,2Story,1,Gd,66.0,IR2,60,RL,BrkFace,10,StoneBr,5,10,Hip,Partial,10,1410.0,1,4,4,438780.0
59,780,0,2,1Fam,TA,Av,ALQ,0.0,TA,Y,TA,HdBoard,HdBoard,0,CBlock,1,352.0,1.0,Unf,Detchd,780,0,Ex,1Story,1,TA,60.0,Reg,20,RL,None,1,CollgCr,7,5,Gable,Normal,4,780.0,0,38,2,124900.0
60,1158,0,3,1Fam,TA,No,ALQ,1.0,Gd,Y,TA,VinylSd,VinylSd,0,PConc,1,576.0,2.0,Unf,Detchd,1158,1,Ex,1Story,1,Gd,63.0,Reg,20,RL,None,5,SawyerW,5,6,Gable,Partial,5,1158.0,0,6,4,158000.0
61,581,530,3,1Fam,Fa,No,Unf,0.0,TA,N,TA,MetalSd,MetalSd,0,BrkTil,1,288.0,1.0,Unf,Detchd,1111,0,TA,2.5Unf,1,Fa,60.0,Reg,75,RM,None,3,IDOTRR,7,5,Gable,Normal,6,530.0,1,90,3,101000.0
62,1370,0,2,TwnhsE,Gd,Mn,GLQ,0.0,Gd,Y,Gd,VinylSd,VinylSd,1,PConc,2,484.0,2.0,RFn,Attchd,1370,0,Ex,1Story,1,Gd,44.0,IR1,120,RL,Stone,10,NridgHt,5,8,Gable,Normal,6,1370.0,0,4,3,202500.0
63,902,808,3,1Fam,TA,No,Unf,0.0,TA,Y,TA,Stucco,Stucco,0,BrkTil,2,480.0,2.0,Unf,Detchd,1710,0,Gd,2Story,1,TA,50.0,IR1,70,RM,None,4,OldTown,6,7,Gable,Normal,9,576.0,1,89,0,140000.0
64,1057,977,3,1Fam,TA,No,GLQ,1.0,Gd,Y,TA,VinylSd,VinylSd,0,PConc,2,645.0,2.0,RFn,Attchd,2034,1,Ex,2Story,1,Gd,0.0,Reg,60,RL,BrkFace,2,CollgCr,5,7,Gable,Normal,8,1057.0,1,13,1,219500.0
65,1143,1330,4,1Fam,TA,Av,Unf,0.0,Ex,Y,Gd,VinylSd,VinylSd,1,PConc,2,852.0,3.0,RFn,BuiltIn,2473,1,Ex,2Story,1,Gd,76.0,Reg,60,RL,BrkFace,10,NridgHt,5,8,Gable,Normal,9,1143.0,1,6,3,317000.0
66,2207,0,3,1Fam,TA,Gd,GLQ,1.0,Gd,Y,TA,Plywood,Plywood,1,CBlock,2,576.0,2.0,RFn,Attchd,2207,0,TA,1Story,1,TA,0.0,Reg,20,RL,BrkFace,7,NAmes,5,7,Gable,Normal,7,1947.0,0,40,0,180000.0
67,1479,0,3,1Fam,TA,Av,GLQ,1.0,Gd,Y,Gd,VinylSd,VinylSd,0,PConc,2,558.0,2.0,RFn,Attchd,1479,0,Ex,1Story,1,Gd,72.0,IR1,20,RL,BrkFace,6,CollgCr,5,7,Gable,Normal,7,1453.0,0,7,3,226000.0
68,747,0,2,1Fam,TA,No,Unf,0.0,TA,Y,TA,MetalSd,MetalSd,0,CBlock,1,220.0,1.0,Unf,Attchd,747,0,TA,1Story,1,TA,47.0,Reg,30,RM,None,6,OldTown,6,4,Gable,Normal,4,747.0,0,65,0,80000.0
69,1304,983,3,1Fam,TA,No,BLQ,0.0,TA,Y,Gd,BrkFace,AsbShng,1,CBlock,2,667.0,2.0,Fin,Attchd,2287,0,TA,1.5Fin,1,TA,81.0,Reg,50,RL,None,7,ClearCr,4,7,Gable,Normal,7,1304.0,1,57,4,225000.0
70,2223,0,3,1Fam,TA,Gd,ALQ,1.0,Gd,Y,TA,Plywood,Plywood,2,CBlock,2,516.0,2.0,Fin,Attchd,2223,0,Ex,1Story,1,TA,95.0,IR1,20,RL,BrkFace,2,NAmes,6,7,Gable,Normal,8,2223.0,0,37,3,244000.0
71,845,0,2,1Fam,TA,No,ALQ,1.0,TA,Y,TA,HdBoard,Plywood,0,CBlock,1,360.0,2.0,Unf,Detchd,845,0,TA,1Story,1,TA,69.0,Reg,20,RL,None,6,Mitchel,6,4,Gable,Normal,4,845.0,0,28,3,129500.0
72,885,833,3,1Fam,TA,No,Unf,0.0,Gd,Y,TA,VinylSd,VinylSd,1,PConc,2,427.0,2.0,Fin,Attchd,1718,1,Gd,2Story,1,TA,74.0,IR1,60,RL,BrkFace,12,Gilbert,5,7,Gable,Normal,7,832.0,1,12,1,185000.0
73,1086,0,3,1Fam,TA,No,ALQ,1.0,TA,Y,TA,Wd Sdng,Wd Sdng,0,CBlock,1,490.0,2.0,Unf,Attchd,1086,0,Gd,1Story,1,TA,85.0,Reg,20,RL,BrkFace,5,NAmes,7,5,Gable,Normal,6,1086.0,0,56,0,144900.0
74,840,765,3,1Fam,TA,No,Unf,0.0,Fa,N,Gd,VinylSd,VinylSd,0,CBlock,2,379.0,1.0,Unf,Detchd,1605,0,Gd,2Story,2,TA,60.0,Reg,50,RM,None,5,OldTown,6,3,Gambrel,Normal,8,840.0,1,95,0,107400.0
75,526,462,2,Twnhs,TA,Gd,GLQ,1.0,Gd,Y,TA,CemntBd,CmentBd,0,CBlock,1,297.0,1.0,Unf,BuiltIn,988,0,TA,SLvl,1,TA,21.0,Reg,180,RM,None,11,MeadowV,5,4,Gable,Normal,5,462.0,1,37,1,91000.0
76,952,0,2,1Fam,TA,No,ALQ,0.0,TA,Y,TA,VinylSd,VinylSd,0,CBlock,1,283.0,1.0,Unf,Detchd,952,0,Ex,1Story,1,TA,0.0,IR1,20,RL,None,4,NAmes,7,4,Gable,Normal,4,952.0,0,54,2,135750.0
77,1072,213,2,1Fam,TA,No,BLQ,1.0,TA,Y,TA,Wd Sdng,Wd Sdng,0,CBlock,1,240.0,1.0,Unf,Detchd,1285,0,TA,1.5Fin,1,TA,50.0,Reg,50,RM,None,1,BrkSide,5,5,Gable,Normal,6,672.0,1,62,2,127000.0
78,1768,0,4,Duplex,TA,No,Unf,0.0,TA,N,TA,HdBoard,HdBoard,0,CBlock,2,0.0,0.0,Unf,Attchd,1768,0,TA,1Story,2,TA,72.0,Reg,90,RL,None,4,Sawyer,5,4,Hip,Normal,8,1768.0,0,42,0,136500.0
79,682,548,2,1Fam,TA,No,Unf,0.0,TA,Y,TA,Wd Sdng,Wd Sdng,0,PConc,1,440.0,2.0,Unf,Detchd,1230,1,Gd,2Story,1,TA,60.0,Reg,50,RM,None,5,OldTown,6,5,Gable,Normal,5,440.0,1,100,1,110000.0
80,1182,960,4,1Fam,TA,No,Rec,0.0,Gd,Y,TA,VinylSd,VinylSd,1,CBlock,2,509.0,1.0,Fin,Attchd,2142,1,TA,2Story,1,Gd,100.0,Reg,60,RL,BrkFace,6,NAmes,6,6,Gable,Normal,8,896.0,1,42,1,193500.0
81,1337,0,2,TwnhsE,Gd,No,GLQ,1.0,Ex,Y,TA,VinylSd,VinylSd,0,PConc,2,405.0,2.0,Fin,Attchd,1337,0,Ex,1Story,1,TA,32.0,Reg,120,RM,BrkFace,3,Mitchel,5,6,Hip,Normal,5,1237.0,0,12,4,153500.0
82,1563,0,3,1Fam,TA,No,GLQ,0.0,Gd,Y,TA,VinylSd,VinylSd,1,PConc,2,758.0,3.0,RFn,Attchd,1563,0,Ex,1Story,1,Gd,78.0,Reg,20,RL,Stone,10,Somerst,5,8,Gable,Normal,6,1563.0,0,3,2,245000.0
83,1065,0,3,1Fam,TA,No,Unf,0.0,TA,Y,TA,MetalSd,MetalSd,0,CBlock,1,461.0,2.0,Unf,Detchd,1065,1,Gd,1Story,1,TA,80.0,IR1,20,RL,BrkCmn,7,NAmes,5,5,Gable,Normal,6,1065.0,0,50,3,126500.0
84,804,670,3,1Fam,TA,No,Unf,0.0,Gd,Y,TA,HdBoard,HdBoard,1,PConc,2,400.0,2.0,Fin,BuiltIn,1474,1,Gd,SLvl,1,TA,0.0,IR1,80,RL,BrkFace,5,Gilbert,5,7,Gable,Normal,7,384.0,1,15,1,168500.0
85,1301,1116,4,1Fam,TA,No,Unf,0.0,Gd,Y,Gd,HdBoard,HdBoard,1,CBlock,2,462.0,2.0,Unf,Attchd,2417,1,Ex,2Story,1,Gd,121.0,Reg,60,RL,BrkFace,4,NoRidge,5,8,Hip,Normal,9,1288.0,1,19,4,260000.0
86,684,876,3,1Fam,TA,Av,Unf,0.0,Gd,Y,Gd,VinylSd,VinylSd,1,PConc,2,400.0,2.0,Fin,BuiltIn,1560,1,Ex,2Story,1,Gd,122.0,IR2,60,RL,None,3,Gilbert,5,6,Gable,Normal,6,684.0,1,5,1,174000.0
87,612,612,2,TwnhsE,TA,Av,Unf,0.0,Gd,Y,Gd,VinylSd,VinylSd,0,PConc,2,528.0,2.0,RFn,Detchd,1224,1,Ex,2Story,1,Gd,40.0,Reg,160,FV,Stone,6,Somerst,5,6,Gable,Partial,4,612.0,1,1,1,164500.0
88,1013,0,2,1Fam,Fa,No,Unf,0.0,TA,N,Fa,Plywood,Plywood,0,CBlock,1,0.0,0.0,Unf,Attchd,1526,0,TA,1.5Fin,1,Fa,105.0,IR1,50,C (all),None,10,IDOTRR,2,3,Hip,Abnorml,6,1013.0,0,95,1,85000.0
89,990,0,3,1Fam,TA,No,GLQ,1.0,Gd,Y,TA,VinylSd,VinylSd,0,PConc,1,0.0,0.0,Unf,Attchd,990,0,Ex,1Story,1,TA,60.0,Reg,20,RL,None,8,CollgCr,5,4,Gable,Normal,5,990.0,0,16,3,123600.0
